asin,url,image_url,category
<<<<<<< HEAD
B0DKFMSMYK,https://www.amazon.com/dp/B0DKFMSMYK,,CPU
B09VCJ171S,https://www.amazon.com/dp/B09VCJ171S,,CPU
B0D6NNDQ92,https://www.amazon.com/dp/B0D6NNDQ92,,CPU
B0DVZSG8D5,https://www.amazon.com/dp/B0DVZSG8D5,,CPU
B0D6NN6TM7,https://www.amazon.com/dp/B0D6NN6TM7,,CPU
B0FD7ZVPH3,https://www.amazon.com/dp/B0FD7ZVPH3,,CPU
B0BTZB7F88,https://www.amazon.com/dp/B0BTZB7F88,,CPU
B0D6NN87T8,https://www.amazon.com/dp/B0D6NN87T8,,CPU
B0DFK2MH2D,https://www.amazon.com/dp/B0DFK2MH2D,,CPU
B0BBJDS62N,https://www.amazon.com/dp/B0BBJDS62N,,CPU
=======
B0DKST5LX5,https://www.amazon.com/dp/B0DKST5LX5,https://m.media-amazon.com/images/I/71uC6Aa9MML.jpg,CPU
B0G39DCF81,https://www.amazon.com/dp/B0G39DCF81,https://m.media-amazon.com/images/I/61OgmT2SdaL.jpg,CPU
B0D1RKBS7J,https://www.amazon.com/dp/B0D1RKBS7J,https://m.media-amazon.com/images/I/41IYLbduRXL.jpg,CPU
B0F9FH1GF4,https://www.amazon.com/dp/B0F9FH1GF4,https://m.media-amazon.com/images/I/817AnCHBMrL.jpg,CPU
B0GJ4R4NY3,https://www.amazon.com/dp/B0GJ4R4NY3,https://m.media-amazon.com/images/I/61MxTVA+R7L.jpg,CPU
B0CXF3F1P5,https://www.amazon.com/dp/B0CXF3F1P5,https://m.media-amazon.com/images/I/514x4fiMqfL.jpg,CPU
B0FT2J3RDM,https://www.amazon.com/dp/B0FT2J3RDM,https://m.media-amazon.com/images/I/8188y-PIc+L.jpg,CPU
B0DRPD97GF,https://www.amazon.com/dp/B0DRPD97GF,https://m.media-amazon.com/images/I/61x1hAb9RML.jpg,CPU
B0F5VY7B9S,https://www.amazon.com/dp/B0F5VY7B9S,https://m.media-amazon.com/images/I/71ieg5e1WEL.jpg,CPU
B0FZ99339K,https://www.amazon.com/dp/B0FZ99339K,https://m.media-amazon.com/images/I/81akDOrYlnL.jpg,CPU
B0DTPPMXX6,https://www.amazon.com/dp/B0DTPPMXX6,https://m.media-amazon.com/images/I/61ICE3Tm16L.jpg,CPU
